   12.5636    46.1931     0.2061     1.7809     0.1449     0.1621     0.1126 BARC
   13.5816    42.3366     0.0526     2.2362     0.2018     0.3402     0.2691 BARS
   11.7314    45.7618     0.1251     0.6179     0.1083     0.2358     0.3406 BASS
    9.0489    42.0014     0.0623     1.4252     0.8338     1.0763     0.0341 BAST
    1.4011    41.5996     0.0612    -0.1631     0.0659     0.1395     0.0512 BELL
   14.9774    37.5913    -1.3656    -5.5376     0.4214     0.8504     0.3783 BELP
   15.8547    39.6181     0.5776     2.8972     0.3110     0.4282     0.0584 BELV
   13.0694    45.6719    -0.0560     2.3335     0.1357     0.1733     0.2141 BEVA
    9.7692    44.1941     0.3083     0.4815     0.1269     0.1587     0.0972 BEVE
   11.8950    43.8891     0.6844     2.2244     0.7753     0.9621     0.0242 BGDR
    8.0481    45.5607    -0.2575     0.0484     0.0523     0.0644     0.0213 BIEL
   16.2866    39.5135     0.6782     3.3272     0.2038     0.4059     0.3944 BISI
   12.2025    46.1369    -0.2984     1.2406     0.1007     0.1970     0.2587 BL01
   14.7939    46.5897     0.3436     1.2807     0.1126     0.1582     0.1352 BLEI
   12.2057    46.1376     0.2890     0.9394     0.3413     0.5721    -0.0103 BLNO
   13.5603    41.8103    -0.4083     1.8276     0.2992     0.2324     0.0621 BLRA
   11.3199    44.4926     0.3219     3.2876     0.4155     0.5490     0.0028 BO01
   11.6686    44.6249     1.0489     2.3085     0.1638     0.2093     0.0399 BO03
    9.3834    44.7706     0.6203     1.1060     0.0916     0.1717     0.1831 BOBB
   16.0902    46.7407     1.1415     0.3877     0.1005     0.1392     0.1599 BODO
   11.3568    44.5002     0.8092     3.1393     0.0596     0.0749     0.0558 BOLG
   11.3288    44.4876     0.8275     2.5756     0.1320     0.2520     0.2113 BOLO
   11.3652    46.4971    -0.0436     0.5487     0.2856     0.6798     0.0468 BOLZ
   11.2843    45.4007    -0.0542     0.6495     0.5481     0.6823     0.0112 BONI
   17.0734    52.2769    -0.0893    -0.1777     0.0196     0.0232     0.2374 BOR1
   11.9694    45.5329     0.0944     1.7303     0.1824     0.3579     0.2940 BOR2
   12.2181    46.4372    -0.1269     0.3247     0.1224     0.1688     0.2097 BORC
   10.3640    46.4682    -0.8458     0.7577     0.1087     0.1186     0.0683 BORM
   10.6960    44.3062     1.2808     1.1868     0.1602     0.2285     0.0763 BORR
   11.0343    45.5998     0.1928     1.0390     0.0590     0.0797     0.0933 BOSC
   15.9111    37.9355    -0.6310     1.9888     0.4225     0.4649     0.0404 BOVA
   13.5421    46.3326     0.1239     0.7407     0.1573     0.1423     0.0067 BOVE
   11.1131    44.1222     0.5511     1.4930     0.0177     0.0194     0.2596 BRAS
   11.9413    46.7966     0.1350     0.6905     0.0767     0.0990     0.1477 BRBZ
    9.4749    42.7746     0.0894     0.3705     0.1896     0.3608     0.2515 BRDO
   10.2328    45.5649    -0.0947     0.7065     0.0737     0.0818     0.0755 BREA
   15.5925    45.9043     1.0309     2.4736     0.0975     0.1409     0.2029 BREZ
   11.7661    44.2248     1.1597     4.1184     0.1551     0.2753     0.2543 BRIS
